,City,State,Lat,Lng,Airport Name,Airport Address,Airport Rating
0,New York City,New York,40.7127753,-74.0059728,TSS Heliport,"E 34th St, New York",4.4
1,Los Angeles,California,34.0522342,-118.2436849,ABC-TV Heliport,Los Angeles,0
2,Chicago,Illinois,41.8781136,-87.6297982,MAG USA,"100 N LaSalle St, Chicago",5
3,Houston,Texas,29.7604267,-95.3698028,George Bush Intercontinental Airport,"2800 N Terminal Rd, Houston",4.2
4,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Baggage Claim E (PHL),"Airport Terminals E & F ,Philadelphia International Airport, Philadelphia",3.9
5,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",4.3
6,San Antonio,Texas,29.4241219,-98.49362819999999,Lackland Air Force Airport,San Antonio,0
7,San Diego,California,32.715738,-117.1610838,San Diego International Airport,"3225 N Harbor Dr, San Diego",4.3
8,Dallas,Texas,32.7766642,-96.79698789999999,Dallas Love Field Airport,"8008 Herb Kelleher Way, Dallas",4.5
9,San Jose,California,37.3382082,-121.8863286,Norman Y. Mineta San Jose International Airport,"1701 Airport Blvd, San Jose",4.3
10,Austin,Texas,30.267153,-97.7430608,Austin-Bergstrom International Airport,"3600 Presidential Blvd, Austin",4.2
11,Jacksonville,Florida,30.3321838,-81.65565099999999,Helipad,"6090-6148 Beach Blvd, Jacksonville",0
12,San Francisco,California,37.7749295,-122.4194155,Airport Authority Consulting,"1 Avenue of the Palms, San Francisco",4
13,Indianapolis,Indiana,39.768403,-86.158068,Indianapolis International Airport,"7800 Col. H. Weir Cook Memorial Dr, Indianapolis",4.6
14,Columbus,Ohio,39.9611755,-82.99879419999999,John Glenn Columbus International Airport,"4600 International Gateway, Columbus",4.3
15,Fort Worth,Texas,32.7554883,-97.3307658,Fort Worth Meacham International Airport,"201 American Concourse, Fort Worth",4.7
16,Charlotte,North Carolina,35.2270869,-80.8431267,Prospect Airport Servcies,"2828 Queen City Dr suite d, Charlotte",2.6
17,Seattle,Washington,47.6062095,-122.3320708,King County International Airport,"7277 Perimeter Rd S, Seattle",4.5
18,Denver,Colorado,39.7392358,-104.990251,denverairport limo,"2172 S Trenton Way, Denver",5
19,El Paso,Texas,31.7618778,-106.4850217,4,"El Paso International Airport (ELP), Convair Rd, El Paso",0
20,Detroit,Michigan,42.331427,-83.0457538,Windsor International Airport,"3200 County Rd 42 Unit #200, Windsor",4.1
21,Washington,District of Columbia,47.7510741,-120.7401385,Lake Wenatchee State Airport,Washington 98826,4
22,Boston,Massachusetts,42.3600825,-71.0588801,Boston Logan International Airport,Boston,4.2
23,Memphis,Tennessee,35.1495343,-90.0489801,General DeWitt Spain Airport,"2787 N 2nd St, Memphis",4.6
24,Nashville,Tennessee,36.1626638,-86.7816016,Nashville International Airport,"1 Terminal Dr, Nashville",4.2
25,Portland,Oregon,45.515232,-122.6783853,Airport Terminal Services Inc,"7780 NE Air Cargo Rd, Portland",3
26,Oklahoma City,Oklahoma,35.4675602,-97.5164276,Tuloo NDB OK 406,Oklahoma City,0
